"","gamma","alpha","rho","sigma_eps_sq","alpha_tilde","k","Y_inf","obj_fun"
"476",0.0730652585041,0.42766228867,0.929828345205,0.00501952,0.101419,0.0727553,154.61,2094.5
"477",0.286239084165,0.738450091987,0.935627528193,0.0346963,0.275746,0.0665378,161.167,2109.71
"478",0.290879911663,0.625799916985,0.948788874373,0.0352649,0.233244,0.052569,183.499,2107.78
"479",0.154974472634,0.590757083513,0.921077775646,0.0117045,0.170474,0.0822108,143.934,2127.32
"480",0.43029248584,1.14678396335,0.936884012889,0.137507,0.556569,0.0651958,157.421,2138.25
"481",0.598151527784,1.74888689485,0.948653607662,0.589651,1.09745,0.0527116,167.226,2129.27
"482",0.534003040433,1.67833574248,0.93222604949,0.314331,0.96401,0.07018,144.278,2100.62
"483",0.24710057408,0.615923227136,0.939826689512,0.0219334,0.212368,0.0620598,164.607,2074.95
"484",0.4030793033,0.911843920565,0.947471479633,0.093516,0.420074,0.0539584,173.813,2097.75
"485",0.648771835077,2.01357371758,0.950489503131,0.684825,1.35586,0.0507782,164.343,2032.3
"486",0.283886531521,0.678853497676,0.941946560896,0.035335,0.250771,0.0598067,173.137,2126.4
"487",0.484251462467,1.23433667756,0.944962465898,0.213922,0.652767,0.0566101,165.219,2128.28
"488",0.779708428879,2.98913653932,0.958942600814,2.44189,2.37171,0.0419241,181.717,2071.36
"489",0.534958379975,1.40132202032,0.949172987113,0.326435,0.800476,0.0521642,172.994,2121.92
"490",0.305795975973,0.73539953556,0.94018028112,0.0417589,0.284702,0.0616836,164.316,2113.71
"491",0.403836657401,1.03007134266,0.939727379769,0.0999199,0.476253,0.0621655,167.099,2115.6
"492",0.367534962351,0.910011128496,0.939515826111,0.0689562,0.394945,0.0623906,164.888,2099.3
"493",0.258821971967,0.675998673968,0.934650248667,0.0248937,0.240313,0.0675829,153.119,2076.65
"494",0.125939723268,0.526496977065,0.924129331281,0.00755923,0.142178,0.0789032,146.479,2070.84
"495",0.414035541993,0.954603833342,0.946232881373,0.109453,0.449007,0.0552666,168.355,2114.61
"496",0.348555602282,0.805491173592,0.944307483,0.0632923,0.336451,0.0573034,174.194,2129.13
"497",0.321993769505,0.776827431788,0.939402722327,0.0453971,0.310731,0.062511,160.25,2092.37
"498",0.500741048204,1.15667535878,0.955263118187,0.232014,0.623932,0.0457685,192.999,2115.29
"499",0.587456621052,1.61896630587,0.95402597124,0.466715,0.997047,0.0470644,188.172,2091.13
"500",0.253393430886,0.649374786445,0.938339504764,0.0280535,0.226208,0.0636435,168.952,2138.58
"501",0.396898697467,1.04765338567,0.934787430041,0.0829492,0.481025,0.0674361,153.654,2069.9
"502",0.343957728747,0.814467852653,0.941725721426,0.0550491,0.338417,0.0600412,166.391,2094.24
"503",0.261398623618,0.703451543434,0.933004313684,0.0252012,0.250877,0.0693455,156.184,2075.92
"504",0.186532325947,0.668697446063,0.917405569054,0.0135811,0.207328,0.0862056,138.942,2081.15
"505",0.545282111867,1.32967655924,0.955042838751,0.342245,0.770006,0.0459991,183.016,2110.02
"506",0.176835647455,0.476308912822,0.944560452088,0.0115473,0.139668,0.0570356,185.87,2077.73
"507",0.0513077091418,0.37796306773,0.935124311141,0.00500494,0.0842681,0.0670758,163.579,2158.69
"508",0.765139480415,2.525448416,0.969244947445,2.28482,1.96308,0.0312379,228.599,2099.32
"509",0.287356240774,0.686356587748,0.941607963749,0.0352044,0.255621,0.0601663,170.422,2114.39
"510",0.287420099087,0.67155304315,0.942435580556,0.0334504,0.250582,0.0592877,166.924,2095.45
"511",0.3171330489,0.875479503767,0.928431349395,0.0523627,0.349212,0.0742588,148.113,2146.62
"512",0.646415478925,2.28562036728,0.943343555004,0.800825,1.53412,0.0583247,164.526,2088.65
"513",0.326835412318,0.710613938123,0.948420691998,0.0497584,0.283833,0.0529571,184.474,2116.54
"514",0.986454681579,6.02203345632,0.969585784168,15.4995,5.97088,0.0308863,211.08,2078.66
"515",0.770640310068,2.99947276101,0.958450906812,2.70366,2.35306,0.0424369,188.289,2130.67
"516",0.359834381308,0.694432976216,0.957376954236,0.061918,0.292504,0.0435581,211.176,2097.91
"517",0.811412533782,2.97426191439,0.969400393107,3.08523,2.44395,0.0310776,221.068,2062.67
"518",0.515847288927,1.75457434417,0.923932286523,0.25664,0.98116,0.0791165,142.182,2085.9
